MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
3,8,6,6,4,4,6,2,3,2,5,10,7,4,2,3,4,3,2,6,0.5470335610073962
8,4,5,7,7,9,1,5,5,4,6,9,2,6,2,1,1,9,1,3,0.5333772098971329
3,10,4,1,7,5,4,7,4,9,2,7,4,4,8,6,1,8,3,6,0.5353284533312636
4,4,2,7,3,4,1,4,6,4,9,4,2,6,6,8,8,6,6,10,0.42886739618318265
3,7,5,2,5,8,5,2,7,5,7,7,6,5,3,3,4,4,3,4,0.5307320104938671
6,6,6,4,6,4,3,1,3,5,1,10,5,9,5,5,7,3,3,2,0.4706240107259332
6,7,4,5,5,5,4,8,8,4,6,8,4,5,4,7,7,5,4,8,0.6168991275268302
7,3,5,5,6,6,6,7,6,5,5,4,6,9,7,10,6,5,4,5,0.5880928915829751
6,3,5,4,5,11,3,2,9,7,8,2,8,7,5,4,9,6,5,7,0.5663552441457969
4,3,5,6,2,3,7,7,10,4,5,7,6,5,6,7,5,7,4,8,0.5101059145851689
5,1,7,4,5,7,4,3,0,2,6,6,4,8,5,5,7,4,2,6,0.4754966185789721
6,9,1,4,3,7,5,8,4,6,5,8,4,3,5,6,4,6,14,3,0.5464535931076304
4,9,4,1,5,4,2,8,4,5,4,5,7,7,3,4,2,3,6,3,0.41837144953473504
6,3,7,9,7,4,11,7,8,3,1,4,5,4,2,3,4,6,7,4,0.5021754138891844
8,1,9,4,6,7,6,3,4,2,8,4,3,2,6,4,5,4,2,8,0.49305081813437124
7,2,4,6,5,5,6,6,2,4,5,2,5,3,4,2,8,3,4,5,0.4989771831072569
7,4,4,4,10,3,7,2,6,7,5,4,5,2,6,1,3,4,4,5,0.39559745986854317
4,7,7,6,5,5,6,6,2,8,6,3,3,4,7,6,4,5,5,7,0.671913654278102
5,2,6,4,5,3,7,3,5,4,9,4,8,5,1,7,3,3,4,6,0.5006061616506872
5,6,2,5,2,11,2,4,6,4,3,1,6,1,8,8,4,9,4,6,0.4445223973194063
7,9,8,8,7,2,2,5,8,7,6,4,11,7,4,2,6,3,3,1,0.5290780893572704
5,8,8,9,8,5,6,3,4,4,6,5,4,4,9,5,10,8,4,6,0.6183421374044445
3,6,8,5,6,5,7,6,2,3,6,6,6,2,3,6,2,8,4,5,0.4785111865531305
6,11,4,1,5,6,4,2,1,1,6,3,6,6,5,6,5,9,2,7,0.489481332814213
2,1,7,4,7,3,6,4,3,2,7,7,4,8,3,5,9,5,6,4,0.56253993065849
9,4,2,6,4,5,8,6,5,5,4,2,6,3,5,1,6,1,2,5,0.4995487844926932
2,5,5,1,5,7,4,7,9,5,6,5,2,5,4,3,6,5,2,6,0.4512311177249302
6,10,4,9,5,2,4,3,7,3,7,4,5,4,8,6,6,4,5,8,0.4656234378901243
7,2,3,2,3,5,5,6,5,6,5,5,2,4,2,5,3,10,9,8,0.5496548207477487
8,8,9,4,5,5,4,9,7,2,9,3,8,3,4,3,3,8,6,1,0.5143253558662615
6,11,5,7,3,6,9,5,6,7,3,7,4,4,4,4,6,4,8,6,0.4960047990081841
2,4,6,5,4,6,5,6,4,8,7,2,4,5,2,6,5,5,0,8,0.44416626415156096
3,6,7,5,1,6,7,4,2,4,6,3,7,4,4,4,1,5,4,3,0.40157534348304225
4,6,4,8,7,4,4,8,2,7,5,5,3,8,7,8,2,6,2,3,0.5486615724136776
4,7,8,2,2,9,6,3,4,3,3,8,3,4,6,6,9,1,9,6,0.5024355273560689
3,7,8,7,1,1,7,5,7,4,3,6,6,3,9,4,7,6,13,6,0.6269397288799
11,4,4,7,5,9,8,5,4,4,8,3,6,4,4,5,3,3,4,10,0.5245993617148026
