MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
3,8,6,6,4,4,6,2,3,2,5,10,7,4,2,3,4,3,2,6,0.20372069369324367
8,4,5,7,7,9,1,5,5,4,6,9,2,6,2,1,1,9,1,3,0.2559335621104858
3,10,4,1,7,5,4,7,4,9,2,7,4,4,8,6,1,8,3,6,0.16094009974587165
4,4,2,7,3,4,1,4,6,4,9,4,2,6,6,8,8,6,6,10,0.409825049874307
3,7,5,2,5,8,5,2,7,5,7,7,6,5,3,3,4,4,3,4,0.235554704799267
6,6,6,4,6,4,3,1,3,5,1,10,5,9,5,5,7,3,3,2,0.23237968672257836
6,7,4,5,5,5,4,8,8,4,6,8,4,5,4,7,7,5,4,8,0.22399778380074212
7,3,5,5,6,6,6,7,6,5,5,4,6,9,7,10,6,5,4,5,0.2790253443483577
6,3,5,4,5,11,3,2,9,7,8,2,8,7,5,4,9,6,5,7,0.31718634836395543
4,3,5,6,2,3,7,7,10,4,5,7,6,5,6,7,5,7,4,8,0.19858320919052633
5,1,7,4,5,7,4,3,0,2,6,6,4,8,5,5,7,4,2,6,0.12181660751452686
6,9,1,4,3,7,5,8,4,6,5,8,4,3,5,6,4,6,14,3,0.3316053176458199
4,9,4,1,5,4,2,8,4,5,4,5,7,7,3,4,2,3,6,3,0.13699120643381318
6,3,7,9,7,4,11,7,8,3,1,4,5,4,2,3,4,6,7,4,0.3774438541700809
8,1,9,4,6,7,6,3,4,2,8,4,3,2,6,4,5,4,2,8,0.1663663592144283
7,2,4,6,5,5,6,6,2,4,5,2,5,3,4,2,8,3,4,5,0.2976011666114621
7,4,4,4,10,3,7,2,6,7,5,4,5,2,6,1,3,4,4,5,0.24139749157331136
4,7,7,6,5,5,6,6,2,8,6,3,3,4,7,6,4,5,5,7,0.29752782287815
